	|||		|||	
or if a fire is started in a building and the fireman do ~not come	|||	coord|or conj|if det;art|a n|fire aux|be-3S part|start-PASTP prep|in det;art|a n|building coord|and det;art|the n|fire+man mod|do neg|~not v|come	|||	or if a fire is started in a building and the firemen don 't come
a b	|||	det;art|a n;let|b	|||	a b
that ~be a lion tamer	|||	pro;dem|that cop|~be det;art|a n|lion adj|tame-CP	|||	that 's a lion tamer
d you want to blow	|||	mod|do pro;per|you v|want inf|to v|blow	|||	d you want to blow
no I ~have had enough and I think you ~have had enough too	|||	co|no pro;sub|I aux|~have part|have-PASTP adv|enough coord|and pro;sub|I v|think pro;per|you aux|~have part|have-PASTP adv|enough post|too	|||	no I 've had enough and I think you 've had enough too
there ~be just building there	|||	pro;exist|there cop|~be adv|just part|build-PRESP adv|there	|||	there 's just building there
what about that building there with the writing on it	|||	pro;int|what adv|about pro;rel|that n|building adv|there prep|with det;art|the part|write-PRESP prep|on pro;per|it	|||	what about that building there with the writing on it
this is my paper here	|||	pro;dem|this cop|be-3S det;poss|my n|paper adv|here	|||	this is my paper here
I do ~not think that would be very good really	|||	pro;sub|I mod|do neg|~not v|think pro;dem|that mod|will-COND cop|be adv|very adj|good adv|real-dadj	|||	I don 't think that would be very good really
you ~be supposed to drink it honey	|||	pro;per|you aux|~be v|suppose-PAST inf|to v|drink pro;per|it n|honey	|||	you 're supposed to drink it honey
I guess I needed it to sew something	|||	pro;sub|I v|guess pro;sub|I v|need-PAST pro;per|it inf|to v|sew pro;indef|something	|||	I guess I needed it to sew something
do you think it ~be a real animal	|||	mod|do pro;per|you v|think pro;per|it cop|~be det;art|a adj|real n|animal	|||	do you think it 's a real animal
oh you ~be like a bulldozer	|||	co|oh pro;per|you aux|~be prep|like det;art|a n|bulldoze-dv	|||	oh you 're like a bulldozer
what did you have for lunch at school today	|||	pro;int|what mod|do-PAST pro;per|you v|have prep|for n|lunch prep|at n|school adv;tem|today	|||	what did you have for lunch at school today
oh you were not in the circle	|||	co|oh pro;per|you aux|be-PAST neg|not prep|in det;art|the n|circle	|||	oh you were not in the circle
this is a story about an old woman who lived in a shoe	|||	pro;dem|this cop|be-3S det;art|a n|story prep|about det;art|a adj|old n|woman pro;rel|who v|live-PAST prep|in det;art|a n|shoe	|||	this is a story about an old woman who lived in a shoe
what about the little doggie	|||	pro;int|what adv|about det;art|the adj|little n|dog-DIM	|||	what about the little doggie
a pumpkin bird	|||	det;art|a n|pumpkin n|bird	|||	a pumpkin bird
bite your pants	|||	v|bite det;poss|your n;pt|pants	|||	bite your pants
no I let you look at it	|||	co|no pro;sub|I v|let-ZERO pro;per|you cop|look prep|at pro;per|it	|||	no I let you look at it
that ~be the drive ~s wheel	|||	pro;dem|that cop|~be det;art|the n|drive poss|~s n|wheel	|||	that 's the driver 's wheel
d you suppose you could draw some flowers	|||	mod|do pro;per|you v|suppose pro;per|you mod|could v|draw qn|some n|flower-PL	|||	d you suppose you could draw some flowers
yes he needs an ear	|||	co|yes pro;sub|he v|need-3S det;art|a n|ear	|||	yes he needs an ear
because_of the way it ~be made and what it does	|||	prep|because_of det;art|the n|way pro;per|it aux|~be v|make-PAST coord|and pro;int|what pro;per|it mod|do-3S	|||	because_of the way it 's made and what it does
just look	|||	adv|just cop|look	|||	just look
but it ~be already black	|||	conj|but pro;per|it cop|~be adv|already adj|black	|||	but it 's already black
some water juice	|||	qn|some n|water n|juice	|||	some water juice
Adam will you say excuse me please	|||	n;prop|Adam mod|will pro;per|you v|say v|excuse pro;obj|me co|please	|||	Adam will you say excuse me please
you drew a picture once	|||	pro;per|you v|draw-PAST det;art|a n|picture adv|once	|||	you drew a picture once
other bunkhouse	|||	qn|other n|bunkhouse	|||	other bunkhouse
well that ~be what I need the scissors for	|||	co|well pro;dem|that cop|~be pro;int|what pro;sub|I v|need det;art|the n|scissors prep|for	|||	well that 's what I need the scissors for
what is the reel of tape doing	|||	pro;int|what cop|be-3S det;art|the n|reel prep|of n|tape part|do-PRESP	|||	what is the reel of tape doing
no before he throws all the toys down there	|||	co|no conj|before pro;sub|he v|throw-3S adv|all det;art|the n|toy-PL adv|down adv|there	|||	no before he throws all the toys down there
I looked for it at home too	|||	pro;sub|I cop|look-PAST prep|for pro;per|it prep|at n|home post|too	|||	I looked for it at home too
these are dragon flies	|||	pro;dem|these cop|be-PRES n|dragon n|fly-PL	|||	these are dragon flies
the m	|||	det;art|the n;let|m	|||	the m
the tree was shaped like that	|||	det;art|the n|tree aux|be-PAST part|shape-PASTP co|like pro;dem|that	|||	the tree was shaped like that
well what is it that you love	|||	co|well pro;int|what aux|be-3S pro;per|it pro;rel|that pro;per|you v|love	|||	well what is it that you love
you may take another turn	|||	pro;per|you mod|may v|take qn|another n|turn	|||	you may take another turn
yes Adam does wear shoes	|||	co|yes n;prop|Adam mod|do-3S v|wear n|shoe-PL	|||	yes Adam does wear shoes
let him have a turn alright	|||	v|let-ZERO pro;obj|him v|have det;art|a n|turn adj|alright	|||	let him have a turn alright
you stay over there in the corner there	|||	pro;per|you n|stay adv|over adv|there prep|in det;art|the n|corner adv|there	|||	you stay over there in the corner there
peas in the oven	|||	n|pea-PL prep|in det;art|the n|oven	|||	peas in the oven
be very careful with this one	|||	cop|be adv|very co|careful prep|with pro;dem|this pro;indef|one	|||	be very careful with this one
Mr Truck you almost had an accident	|||	n;prop|Mr n;prop|Truck pro;per|you adv|almost v|have-PAST det;art|a n|accident	|||	Mr Truck you almost had an accident
you ~be going to feed the pigeons	|||	pro;per|you aux|~be part|go-PRESP inf|to v|feed det;art|the n|pigeon-PL	|||	you 're going to feed the pigeons
two toes	|||	det;num|two n|toe-PL	|||	two toes
you simply do ~not want to put them in the chair	|||	pro;per|you adv|simple-dadj mod|do neg|~not v|want inf|to v|put-ZERO pro;obj|them prep|in det;art|the n|chair	|||	you simply don 't want to put them in the chair
can you say hello	|||	mod|can pro;per|you v|say n|hello	|||	can you say hello
please do	|||	co|please v|do	|||	please do
oh what you see on television	|||	co|oh pro;int|what pro;per|you v|see prep|on n|television	|||	oh what you see on television
then you can ~not hang anything	|||	adv;tem|then pro;per|you mod|can neg|~not v|hang pro;indef|anything	|||	then you can 't hang anything
now he has two ears but no face	|||	adv|now pro;sub|he v|have-3S det;num|two n|ear-PL conj|but qn|no n|face	|||	now he has two ears but no face
can you wind that	|||	mod|can pro;per|you v|wind pro;dem|that	|||	can you wind that
which one d you think I should use	|||	pro;rel|which pro;indef|one mod|do pro;per|you v|think pro;sub|I mod|should v|use	|||	which one d you think I should use
you blow and let me go get Paul and Diandra	|||	pro;per|you v|blow coord|and v|let-ZERO pro;obj|me v|go v|get n;prop|Paul coord|and n;prop|Diandra	|||	you blow and let me go get Paul and Diandra
how many pencils do you have	|||	adv;int|how qn|many n|pencil-PL v|do pro;per|you v|have	|||	how many pencils do you have
no we have_to find a crayon to write on there	|||	co|no pro;sub|we mod;aux|have_to v|find det;art|a n|crayon inf|to v|write prep|on adv|there	|||	no we have_to find a crayon to write on there
you sit on the other side of the table	|||	pro;per|you v|sit prep|on det;art|the qn|other n|side prep|of det;art|the n|table	|||	you sit on the other side of the table
it ~be almost like a stone fly	|||	pro;per|it cop|~be adv|almost co|like det;art|a n|stone n|fly	|||	it 's almost like a stone fly
because we ~be going to look at it under a microscope	|||	conj|because pro;sub|we cop|~be part|go-PRESP inf|to cop|look prep|at pro;per|it prep|under det;art|a n|microscope	|||	because we 're going to look at it under a microscope
did you have a story about that at school	|||	v|do-PAST pro;per|you v|have det;art|a n|story prep|about pro;dem|that prep|at n|school	|||	did you have a story about that at school
yes how are you going to make those	|||	co|yes adv;int|how aux|be-PRES pro;per|you part|go-PRESP inf|to v|make pro;dem|those	|||	yes how are you going to make those
that wheel ~be alright	|||	pro;dem|that n|wheel aux|~be co|alright	|||	that wheel 's alright
right nearby	|||	adv|right adv|nearby	|||	right nearby
that ~be a reindeer	|||	pro;dem|that cop|~be det;art|a n|reindeer	|||	that 's a reindeer
no let him look at it	|||	co|no v|let-ZERO pro;obj|him cop|look prep|at pro;per|it	|||	no let him look at it
now I ~will wait for you to come in	|||	adv|now pro;sub|I mod|~will v|wait prep|for pro;per|you inf|to v|come adv|in	|||	now I 'll wait for you to come in
oh has a hassy boy	|||	co|oh v|have-3S det;art|a chi|hassy n|boy	|||	oh has a hassy boy
because Shadow_Gay spanked him	|||	conj|because n;prop|Shadow_Gay v|spank-PAST pro;obj|him	|||	because Shadow_Gay spanked him
did you do something	|||	v|do-PAST pro;per|you v|do pro;indef|something	|||	did you do something
an a what	|||	coord|and det;art|a pro;int|what	|||	an a what
what ~be funny about what Adam	|||	pro;int|what aux|~be adj|fun-dn prep|about pro;int|what n;prop|Adam	|||	what 's funny about what Adam
with Adam	|||	prep|with n;prop|Adam	|||	with Adam
you write on the other side	|||	pro;per|you v|write prep|on det;art|the qn|other n|side	|||	you write on the other side
the one you were singing at the table	|||	det;art|the pro;indef|one pro;per|you aux|be-PAST part|sing-PRESP prep|at det;art|the n|table	|||	the one you were singing at the table
dat that a mother	|||	pro;rel|that pro;rel|that det;art|a n|mother	|||	dat that a mother
you can watch it come out here	|||	pro;per|you mod|can v|watch pro;per|it v|come adv|out adv|here	|||	you can watch it come out here
well you told her to sit there	|||	co|well pro;per|you v|tell-PAST pro;obj|her inf|to v|sit adv|there	|||	well you told her to sit there
I do ~not know that I ~have heard of anybody with Rodger as a last name	|||	pro;sub|I mod|do neg|~not v|know pro;rel|that pro;sub|I aux|~have part|hear-PASTP prep|of pro;indef|anybody prep|with n;prop|Rodger conj|as det;art|a adj|last n|name	|||	I don 't know that I 've heard of anybody with Rodger as a last name
q is for quintuplets quilt	|||	n;let|q cop|be-3S prep|for n|quintuplet-PL n|quilt	|||	q is for quintuplets quilt
why is that a baby barn	|||	adv;int|why cop|be-3S pro;rel|that det;art|a n|baby n|barn	|||	why is that a baby barn
Adam ask Cromer if he wants more coffee	|||	n;prop|Adam v|ask n;prop|Cromer conj|if pro;sub|he v|want-3S qn|more n|coffee	|||	Adam ask Cromer if he wants more coffee
how much d you want	|||	adv;int|how adv|much v|do pro;per|you v|want	|||	how much d you want
I do ~not think you would intend to	|||	pro;sub|I mod|do neg|~not v|think pro;per|you mod|will-COND v|intend prep|to	|||	I don 't think you would intend to
throw to Daddy	|||	v|throw prep|to n;prop|Daddy	|||	throw to Daddy
is that what you call slow	|||	cop|be-3S pro;dem|that pro;int|what pro;per|you n|call adv|slow	|||	is that what you call slow
let ~us cover it all up now see what happens	|||	v;obj|let pro;obj|~us v|cover pro;per|it adv|all adv|up adv|now v|see pro;int|what v|happen-3S	|||	let 's cover it all up now see what happens
a child+s-PL ~s program	|||	det;art|a n|child+s-PL poss|~s n|program	|||	a children 's program
no what does that mean	|||	co|no pro;int|what mod|do-3S pro;dem|that adj|mean	|||	no what does that mean
some kind of fighter	|||	qn|some n|kind prep|of n|fight-dv	|||	some kind of fighter
no Adam we do ~not leave the television set on	|||	co|no n;prop|Adam pro;sub|we mod|do neg|~not v|leave det;art|the n|television n|set adv|on	|||	no Adam we don 't leave the television set on
how can you get out	|||	adv;int|how mod|can pro;per|you v|get adv|out	|||	how can you get out
take your finger off Adam	|||	v|take det;poss|your n|finger prep|off n;prop|Adam	|||	take your finger off Adam
alright Paulie we ~will let Paul pull the string	|||	co|alright n;prop|Paulie pro;sub|we mod|~will v|let-ZERO n;prop|Paul v|pull det;art|the n|string	|||	alright Paulie we 'll let Paul pull the string
Adam there ~be a clown here and a ringmaster	|||	n;prop|Adam pro;exist|there cop|~be det;art|a n|clown adv|here coord|and det;art|a n|ring+master	|||	Adam there 's a clown here and a ringmaster
in this purse	|||	prep|in pro;dem|this n|purse	|||	in this purse
it do ~not go in your mouth does it	|||	pro;per|it mod|do neg|~not v|go prep|in det;poss|your n|mouth mod|do-3S pro;per|it	|||	it doesn 't go in your mouth does it
she goes to sleep all day while we ~be not there	|||	pro;sub|she v|go-3S inf|to v|sleep qn|all n|day conj|while pro;sub|we aux|~be neg|not adv|there	|||	she goes to sleep all day while we 're not there
Boston University	|||	n;prop|Boston n;prop|University	|||	Boston University
do ~not forget to pay him	|||	mod|do neg|~not v|forget inf|to v|pay pro;obj|him	|||	don 't forget to pay him
I do ~not want milk over me	|||	pro;sub|I mod|do neg|~not v|want n|milk adv|over pro;obj|me	|||	I don 't want milk over me
well you let her see	|||	co|well pro;per|you v|let-ZERO pro;obj|her v|see	|||	well you let her see
piece of a trailer	|||	n|piece prep|of det;art|a n|trailer	|||	piece of a trailer
do ~not hold it with you	|||	mod|do neg|~not v|hold pro;per|it prep|with pro;per|you	|||	don 't hold it with you
maybe he likes ball players	|||	adv|maybe pro;sub|he v|like-3S n|ball n|play-dv	|||	maybe he likes ball players
you be ~not going to do it again are you	|||	pro;per|you aux|be neg|~not part|go-PRESP inf|to v|do pro;per|it adv|again cop|be-PRES pro;per|you	|||	you aren 't going to do it again are you
how many d you need to push up	|||	adv;int|how qn|many v|do pro;per|you v|need inf|to v|push adv|up	|||	how many d you need to push up
he ~be crying	|||	pro;sub|he aux|~be part|cry-PRESP	|||	he 's crying
let ~us hope the lion do ~not come back and find the man in his cage	|||	v;obj|let pro;obj|~us v|hope det;art|the n|lion mod|do neg|~not v|come n|back coord|and v|find det;art|the n|man prep|in det;poss|his n|cage	|||	let 's hope the lion doesn 't come back and find the man in his cage
you ~be the big brother dinosaur	|||	pro;per|you aux|~be det;art|the adj|big n|brother n|dinosaur	|||	you 're the big brother dinosaur
is that a new toy	|||	cop|be-3S pro;rel|that det;art|a adj|new n|toy	|||	is that a new toy
no the legs	|||	qn|no det;art|the n|leg-PL	|||	no the legs
do you want paper	|||	mod|do pro;per|you v|want n|paper	|||	do you want paper
Adam put it on the other way I think	|||	n;prop|Adam v|put-ZERO pro;per|it prep|on det;art|the qn|other n|way pro;sub|I v|think	|||	Adam put it on the other way I think
wait you have_to ask him first	|||	v|wait pro;per|you mod;aux|have_to v|ask pro;obj|him adv|first	|||	wait you have_to ask him first
what about some milk	|||	pro;int|what prep|about qn|some n|milk	|||	what about some milk
you stand up with some legs	|||	pro;per|you v|stand adv|up prep|with qn|some n|leg-PL	|||	you stand up with some legs
Adam write on one side of the paper only	|||	n;prop|Adam v|write prep|on det;num|one n|side prep|of det;art|the n|paper qn|only	|||	Adam write on one side of the paper only
not for digging	|||	neg|not prep|for n;gerund|dig-PRESP	|||	not for digging
what ~be the fireman doing	|||	pro;int|what aux|~be det;art|the n|fire+man part|do-PRESP	|||	what 's the fireman doing
I think there ~be some old books there that are all torn	|||	pro;sub|I v|think pro;exist|there aux|~be qn|some adj|old n|book-PL adv|there pro;rel|that cop|be-PRES adv|all part|tear-PASTP	|||	I think there 're some old books there that are all torn
what ~be in there	|||	pro;int|what cop|~be prep|in adv|there	|||	what 's in there
is that the sugar dish	|||	cop|be-3S pro;rel|that det;art|the n|sugar n|dish	|||	is that the sugar dish
you have a little cape	|||	pro;per|you v|have det;art|a adj|little n|cape	|||	you have a little cape
here ~be a book we could read	|||	pro;exist|here cop|~be det;art|a n|book pro;sub|we mod|could v|read-ZERO	|||	here 's a book we could read
where could she sit	|||	adv;int|where mod|could pro;sub|she v|sit	|||	where could she sit
and his nose do ~not squeak like Bozo ~s	|||	coord|and det;poss|his n|nose mod|do neg|~not n|squeak prep|like n;prop|Bozo poss|~s	|||	and his nose doesn 't squeak like Bozo 's
the racket be ~not up there	|||	det;art|the n|racket cop|be neg|~not adv|up adv|there	|||	the racket isn 't up there
it will	|||	pro;per|it mod|will	|||	it will
shall we use it tomorrow	|||	mod|shall pro;sub|we v|use pro;per|it adv;tem|tomorrow	|||	shall we use it tomorrow
just put that one in in the right place	|||	adv|just v|put-ZERO pro;dem|that pro;indef|one adv|in prep|in det;art|the adj|right n|place	|||	just put that one in in the right place
what did we forget	|||	pro;int|what mod|do-PAST pro;sub|we v|forget	|||	what did we forget
what other things would you like me to bring back that I brought other times	|||	pro;int|what qn|other n|thing-PL mod|will-COND pro;per|you v|like pro;obj|me inf|to v|bring adv|back pro;rel|that pro;sub|I v|bring-PAST qn|other n|time-PL	|||	what other things would you like me to bring back that I brought other times
you do ~not know what a field is	|||	pro;per|you mod|do neg|~not v|know pro;int|what det;art|a n|field cop|be-3S	|||	you don 't know what a field is
well Rinny ~s in the bath+room	|||	co|well n;prop|Rinny poss|~s prep|in det;art|the n|bath+room	|||	well Rinny 's in the bath
d you know what this is	|||	mod|do pro;per|you v|know pro;int|what pro;dem|this cop|be-3S	|||	d you know what this is
what is Adam busy doing	|||	pro;int|what cop|be-3S n;prop|Adam v|busy part|do-PRESP	|||	what is Adam busy doing
looking at the little boy	|||	part|look-PRESP prep|at det;art|the adj|little n|boy	|||	looking at the little boy
you do ~not eat racing cars	|||	pro;per|you mod|do neg|~not v|eat part|race-PRESP n|car-PL	|||	you don 't eat racing cars
will you take those and put them back in the crayon box so they will ~not get broken	|||	mod|will pro;per|you v|take pro;dem|those coord|and v|put-ZERO pro;obj|them adv|back prep|in det;art|the n|crayon n|box co|so pro;sub|they mod|will neg|~not v|get part|break-PASTP	|||	will you take those and put them back in the crayon box so they won 't get broken
you can make all sorts of things with these	|||	pro;per|you mod|can v|make qn|all n|sort-PL prep|of n|thing-PL prep|with pro;dem|these	|||	you can make all sorts of things with these
thank_you for what	|||	co|thank_you prep|for pro;int|what	|||	thank_you for what
what about that word that starts with	|||	pro;int|what adv|about pro;rel|that n|word pro;rel|that v|start-3S prep|with	|||	what about that word that starts with
what did we say about that word	|||	pro;int|what mod|do-PAST pro;sub|we v|say prep|about pro;dem|that n|word	|||	what did we say about that word
are you ready Adam	|||	cop|be-PRES pro;per|you v|ready n;prop|Adam	|||	are you ready Adam
open it up and see	|||	v|open pro;per|it adv|up coord|and v|see	|||	open it up and see
the fish bit you and the cowboy bit you and a big doggie bit you	|||	det;art|the n|fish v|bite-PAST pro;per|you coord|and det;art|the n|cow+boy n|bit pro;per|you coord|and det;art|a adj|big n|dog-DIM n|bit pro;per|you	|||	the fish bit you and the cowboy bit you and a big doggie bit you
that has two ends and evidently you opened both of them now where are the other crayons	|||	pro;rel|that v|have-3S det;num|two n|end-PL coord|and adv|evident-dadj pro;per|you v|open-PAST qn|both prep|of pro;obj|them adv|now pro;rel|where cop|be-PRES det;art|the qn|other n|crayon-PL	|||	that has two ends and evidently you opened both of them now where are the other crayons
d you want to tie it	|||	mod|do pro;per|you v|want inf|to v|tie pro;per|it	|||	d you want to tie it
the other way Adam	|||	det;art|the qn|other n|way n;prop|Adam	|||	the other way Adam
I ~be not going any place	|||	pro;sub|I cop|~be neg|not part|go-PRESP qn|any n|place	|||	I 'm not going any place
well she said now	|||	co|well pro;sub|she v|say-PAST adv|now	|||	well she said now
well I can ~not finish it by myself	|||	co|well pro;sub|I mod|can neg|~not v|finish pro;per|it prep|by pro;refl|myself	|||	well I can 't finish it by myself
is the window on this part or is it on the other part	|||	cop|be-3S det;art|the n|window prep|on pro;dem|this n|part coord|or aux|be-3S pro;per|it prep|on det;art|the qn|other n|part	|||	is the window on this part or is it on the other part
your spoon	|||	det;poss|your n|spoon	|||	your spoon
did you see any cows	|||	v|do-PAST pro;per|you v|see qn|any n|cow-PL	|||	did you see any cows
it ~be not the same dog as Pepper	|||	pro;per|it cop|~be neg|not det;art|the adj|same n|dog conj|as n;prop|Pepper	|||	it 's not the same dog as Pepper
where ~be the boat and where ~be the sail	|||	adv;int|where cop|~be det;art|the n|boat coord|and adv;int|where cop|~be det;art|the n|sail	|||	where 's the boat and where 's the sail
he do ~not want to exercise	|||	pro;sub|he mod|do neg|~not v|want inf|to v|exercise	|||	he doesn 't want to exercise
you have_to be careful	|||	pro;per|you mod;aux|have_to cop|be adj|care-dn	|||	you have_to be careful
what kind of pen	|||	pro;int|what n|kind prep|of n|pen	|||	what kind of pen
that ~be a screw	|||	pro;dem|that cop|~be det;art|a n|screw	|||	that 's a screw
I will ~not step on your candy	|||	pro;sub|I mod|will neg|~not v|step prep|on det;poss|your n|candy	|||	I won 't step on your candy
I have enough tea	|||	pro;sub|I v|have adj|enough n|tea	|||	I have enough tea
I ~genmod like brown	|||	pro;sub|I mod|~genmod v|like adj|brown	|||	I 'd like brown
oh tops to it	|||	co|oh v|top-3S prep|to pro;per|it	|||	oh tops to it
you tell him how it tastes	|||	pro;per|you v|tell pro;obj|him adv;int|how pro;per|it v|taste-3S	|||	you tell him how it tastes
post office mail	|||	n|post n|office n|mail	|||	post office mail
what ~be you going to buy with yours	|||	pro;int|what aux|~be pro;per|you part|go-PRESP prep|to n|buy prep|with pro;poss|yours	|||	what 're you going to buy with yours
no do ~not hit anybody with the stick	|||	co|no mod|do neg|~not n|hit pro;indef|anybody prep|with det;art|the n|stick	|||	no don 't hit anybody with the stick
oh I forgot	|||	co|oh pro;sub|I v|forget-PAST	|||	oh I forgot
no you do ~not have any	|||	co|no pro;per|you mod|do neg|~not v|have qn|any	|||	no you don 't have any
well why are the Indians bad	|||	co|well adv;int|why aux|be-PRES det;art|the n;prop|Indians adj|bad	|||	well why are the Indians bad
it do ~not seem very sturdy	|||	pro;per|it mod|do neg|~not cop|seem adv|very adj|sturdy	|||	it doesn 't seem very sturdy
a ring	|||	det;art|a n|ring	|||	a ring
I ~will go out	|||	pro;sub|I mod|~will v|go adv|out	|||	I 'll go out
you ~be missing	|||	pro;per|you aux|~be part|miss-PRESP	|||	you 're missing
you want to smoke Camels	|||	pro;per|you v|want inf|to v|smoke n;prop|Camels	|||	you want to smoke Camels
when it gets hurt you put it over there and put it bandage on it	|||	conj|when pro;per|it v|get-3S v|hurt-ZERO pro;per|you v|put-ZERO pro;per|it adv|over adv|there coord|and v|put-ZERO pro;per|it v|bandage prep|on pro;per|it	|||	when it gets hurt you put it over there and put it bandage on it
Adam put the penny in the cup	|||	n;prop|Adam v|put-ZERO det;art|the n|penny prep|in det;art|the n|cup	|||	Adam put the penny in the cup
those two are alright	|||	pro;dem|those det;num|two cop|be-PRES adj|alright	|||	those two are alright
his tonsils were enlarged	|||	det;poss|his n|tonsil-PL aux|be-PAST part|enlarge-PASTP	|||	his tonsils were enlarged
can you fix it	|||	mod|can pro;per|you v|fix pro;per|it	|||	can you fix it
did you ever see a house going up	|||	v|do-PAST pro;per|you adv|ever v|see det;art|a n|house part|go-PRESP adv|up	|||	did you ever see a house going up
oh I have two eyes open	|||	co|oh pro;sub|I v|have det;num|two n|eye-PL adj|open	|||	oh I have two eyes open
well not particularly	|||	co|well neg|not adv|particular-dadj	|||	well not particularly
well do ~not do that	|||	co|well mod|do neg|~not v|do pro;dem|that	|||	well don 't do that
Paul no that ~be Adam ~s	|||	n;prop|Paul co|no pro;dem|that cop|~be n;prop|Adam poss|~s	|||	Paul no that 's Adam 's
where ~be your fourth truck	|||	adv;int|where cop|~be det;poss|your n|fourth n|truck	|||	where 's your fourth truck
no I do ~not	|||	co|no pro;sub|I mod|do neg|~not	|||	no I didn 't
maybe it ~be the same dragonfly	|||	adv|maybe pro;per|it cop|~be det;art|the adj|same n|dragonfly	|||	maybe it 's the same dragonfly
no they ~be going to put the fire out so_that it will ~not burn the school down	|||	co|no pro;sub|they aux|~be part|go-PRESP inf|to v|put-ZERO det;art|the v|fire adv|out conj|so_that pro;per|it mod|will neg|~not v|burn det;art|the n|school adv|down	|||	no they 're going to put the fire out so_that it won 't burn the school down
did you write a pencil Adam	|||	v|do-PAST pro;per|you v|write det;art|a n|pencil n;prop|Adam	|||	did you write a pencil Adam
you know Humpty_Dumpty	|||	pro;per|you v|know n;prop|Humpty_Dumpty	|||	you know Humpty_Dumpty
it ~be not a snail is it	|||	pro;per|it cop|~be neg|not det;art|a n|snail aux|be-3S pro;per|it	|||	it 's not a snail is it
that ~be one	|||	pro;dem|that cop|~be pro;indef|one	|||	that 's one
what ~be the name of the song	|||	pro;int|what aux|~be det;art|the n|name prep|of det;art|the n|song	|||	what 's the name of the song
he do ~not fall out_of the boot	|||	pro;sub|he mod|do neg|~not v|fall prep|out_of det;art|the n|boot	|||	he didn 't fall out_of the boot
let ~us see you fly	|||	v;obj|let pro;obj|~us v|see pro;per|you v|fly	|||	let 's see you fly
ask him for change Adam	|||	v|ask pro;obj|him prep|for n|change n;prop|Adam	|||	ask him for change Adam
and what is he playing	|||	coord|and pro;int|what cop|be-3S pro;sub|he part|play-PRESP	|||	and what is he playing
well sometimes you do when you wake up from your nap	|||	n|well adv|sometimes pro;per|you v|do conj|when pro;per|you v|wake adv|up prep|from det;poss|your n|nap	|||	well sometimes you do when you wake up from your nap
you have_to taste that	|||	pro;per|you mod;aux|have_to v|taste pro;dem|that	|||	you have_to taste that
untangle it	|||	v|tangle pro;per|it	|||	untangle it
what did you see at the pet shop Adam	|||	pro;int|what mod|do-PAST pro;per|you v|see prep|at det;art|the n|pet n|shop n;prop|Adam	|||	what did you see at the pet shop Adam
did you drop the vegetables	|||	v|do-PAST pro;per|you v|drop det;art|the n|vegetable-PL	|||	did you drop the vegetables
I think the other one is in your wagon	|||	pro;sub|I v|think det;art|the qn|other pro;indef|one cop|be-3S prep|in det;poss|your n|wagon	|||	I think the other one is in your wagon
you can make holes with it	|||	pro;per|you mod|can v|make n|hole-PL prep|with pro;per|it	|||	you can make holes with it
d you want to make a little bigger	|||	mod|do pro;per|you v|want inf|to v|make det;art|a adj|little adj|big-CP	|||	d you want to make a little bigger
yes rich with Ursula ~s toys	|||	co|yes n|rich prep|with n;prop|Ursula poss|~s n|toy-PL	|||	yes rich with Ursula 's toys
what takes the car	|||	pro;int|what v|take-3S det;art|the n|car	|||	what takes the car
you mean stop the noise	|||	pro;per|you adj|mean n|stop det;art|the n|noise	|||	you mean stop the noise
it ~be he you forgot	|||	pro;per|it aux|~be pro;sub|he pro;per|you v|forget-PAST	|||	it 's he you forgot
you kicked him with your shoe	|||	pro;per|you v|kick-PAST pro;obj|him prep|with det;poss|your n|shoe	|||	you kicked him with your shoe
that you ~be making	|||	pro;rel|that pro;per|you aux|~be part|make-PRESP	|||	that you 're making
that ~be a little cutting edge	|||	pro;dem|that cop|~be det;art|a adj|little n;gerund|cut-PRESP n|edge	|||	that 's a little cutting edge
you do ~not have_to eat them	|||	pro;per|you mod|do neg|~not mod;aux|have_to v|eat pro;obj|them	|||	you don 't have_to eat them
put it in from the back	|||	v|put-ZERO pro;per|it prep|in prep|from det;art|the adj|back	|||	put it in from the back
she needs that pencil	|||	pro;sub|she v|need-3S pro;rel|that n|pencil	|||	she needs that pencil
you finished	|||	pro;per|you v|finish-PAST	|||	you finished
no I do ~not want to	|||	co|no pro;sub|I mod|do neg|~not v|want prep|to	|||	no I don 't want to
you put the truck where	|||	pro;per|you v|put-ZERO det;art|the n|truck pro;rel|where	|||	you put the truck where
bike is home	|||	n|bike aux|be-3S adv|home	|||	bike is home
and did they have a race Adam	|||	coord|and v|do-PAST pro;sub|they v|have det;art|a n|race n;prop|Adam	|||	and did they have a race Adam
yes it ~be a horse	|||	co|yes pro;per|it cop|~be det;art|a n|horse	|||	yes it 's a horse
how did you break your window	|||	adv;int|how mod|do-PAST pro;per|you v|break det;poss|your n|window	|||	how did you break your window
what were their names	|||	pro;int|what aux|be-PAST det;poss|their n|name-PL	|||	what were their names
who said your gloves were pretty	|||	pro;rel|who v|say-PAST det;poss|your n|glove-PL aux|be-PAST adv|pretty	|||	who said your gloves were pretty
that will ~not be enough	|||	pro;rel|that mod|will neg|~not cop|be adv|enough	|||	that won 't be enough
I do ~not think you can jump over the pipe	|||	pro;sub|I mod|do neg|~not v|think pro;per|you mod|can v|jump adv|over det;art|the n|pipe	|||	I don 't think you can jump over the pipe
the lights are off	|||	det;art|the n|light-PL cop|be-PRES prep|off	|||	the lights are off
